positive_terms,positive_weight,negative_terms,negative_weight
great,8.774247670290471,worst,-11.586084980691036
excellent,8.369513380105392,awful,-9.476100890276793
perfect,6.6431090934204615,bad,-9.034951444222674
best,6.426576522776538,waste,-8.604687002191529
amazing,6.274310333694634,boring,-7.7329377522294775
wonderful,5.686336879058933,terrible,-6.84547355790545
hilarious,5.402760340868798,poor,-6.770971615857266
loved,5.197670256242664,worse,-6.2944764624460285
fun,5.155245550350605,poorly,-6.2468881590290195
favorite,4.972728877243898,dull,-6.2412306597079095
enjoyed,4.970660014944174,fails,-6.034602516297747
brilliant,4.895047854766979,disappointment,-5.988562230566701
superb,4.811639956881967,horrible,-5.920998086669773
funniest,4.751258286863685,disappointing,-5.695246615894632
today,4.618708711131616,annoying,-5.213583715915878
enjoyable,4.588289897553843,minutes,-5.170520601527381
fantastic,4.56682057928855,lacks,-5.159538799290932
perfectly,4.24352393557948,ridiculous,-5.116765760982358
incredible,4.108697077127729,unfortunately,-5.08461720428136
gem,4.0951531111353825,stupid,-5.081347106348256
