,count,unique,top,freq,mean,min,25%,50%,75%,max,std
customer_id,30728,30728,14308d2303a3e2bdf4939b86c46d2679,1,,,,,,,
customer_zip_code_prefix,30728.0,,,,36755.119500130175,1004.0,12609.0,26600.0,62470.0,99990.0,29976.810831722512
customer_city,30728,2872,sao paulo,4256,,,,,,,
customer_state,30728,27,SP,11920,,,,,,,
order_count,30728.0,,,,1.069643322051549,1.0,1.0,1.0,1.0,7.0,0.32527145515227607
total_spent,30728.0,,,,171.55460361884923,0.0,63.9675,107.78,187.2575,13664.08,255.1364691628729
avg_order_value,30727.0,,,,161.63399941032165,10.07,62.01,103.55,175.77,13664.08,237.60033625965173
total_items,30728.0,,,,1.2045691226243165,0.0,1.0,1.0,1.0,21.0,0.676254554956689
avg_items_per_order,30380.0,,,,1.1375,1.0,1.0,1.0,1.0,21.0,0.5180736300061295
total_products,30728.0,,,,1.0993881801614163,0.0,1.0,1.0,1.0,7.0,0.4338820165089948
avg_freight,30380.0,,,,22.109291364933068,0.0,14.1,16.74,24.155,1002.2900000000001,19.479296119965863
avg_review_score,30483.0,,,,4.140628734517131,1.0,4.0,5.0,5.0,5.0,1.2872463764507476
avg_delivery_days,29532.0,,,,11.668195516727618,0.0,7.0,10.0,14.0,209.0,9.058858839138425
avg_delay_days,29532.0,,,,-13.591027811639353,-140.0,-18.0,-14.0,-9.0,181.0,9.937476641047404
last_order_status,30728,7,delivered,29499,,,,,,,
favorite_category,30728,72,cama_mesa_banho,3157,,,,,,,
avg_payment_installments,30727.0,,,,3.1410334087214355,1.0,1.0,2.0,4.0,20.0,2.809371334837586
avg_payment_type_count,30727.0,,,,1.0271422527418883,1.0,1.0,1.0,1.0,2.0,0.1610587516895601
avg_sellers,30380.0,,,,1.0106758832565286,1.0,1.0,1.0,1.0,3.0,0.10308376519954161
avg_product_weight,30365.0,,,,2266.910658966699,50.0,300.0,800.0,1925.0,30000.0,4011.242784571554
avg_product_photos,29865.0,,,,2.242955601795381,1.0,1.0,2.0,3.0,18.0,1.6988124523507486
recency_days,30728.0,,,,116.52619760479043,0.0,49.0,105.0,173.0,407.0,79.18220231941623
customer_lifetime_days,30728.0,,,,2.004067951054413,0.0,0.0,0.0,0.0,358.0,15.116962432254237
purchase_frequency,30728.0,,,,0.9994001575181849,0.005571030640668524,1.0,1.0,1.0,6.0,0.24712916781191915
target,30728.0,,,,0.047708929966154646,0.0,0.0,0.0,0.0,1.0,0.21315315283293318
cutoff_date,30728,,,,2017-10-17 00:00:00,2017-10-17 00:00:00,2017-10-17 00:00:00,2017-10-17 00:00:00,2017-10-17 00:00:00,2017-10-17 00:00:00,
prediction_days,30728.0,,,,365.0,365.0,365.0,365.0,365.0,365.0,0.0
