feature,importance
num__total_spent,0.0640729984421224
num__recency_days,0.06376414959385872
num__avg_order_value,0.0629961509713344
num__customer_zip_code_prefix,0.06278757917670581
num__avg_freight,0.058477797280056164
num__avg_product_weight,0.05801794393047975
num__avg_delay_days,0.05355079542777605
num__avg_delivery_days,0.05147541133540748
num__avg_payment_installments,0.03820537116144931
num__avg_product_photos,0.030815246226116873
num__avg_review_score,0.027101024303509642
num__total_items,0.0106563589624287
num__purchase_frequency,0.009318803780898352
num__total_products,0.008719903486913944
cat__favorite_category_cama_mesa_banho,0.00826358742527404
cat__favorite_category_esporte_lazer,0.008173675185751662
num__customer_lifetime_days,0.007743340829012467
cat__customer_state_SP,0.007489847486534101
num__avg_items_per_order,0.007331079967387613
cat__customer_city_sao paulo,0.007281529703720311
num__order_count,0.006916884284842622
cat__customer_state_MG,0.006859319230485421
cat__favorite_category_beleza_saude,0.0067731666144368536
cat__favorite_category_moveis_decoracao,0.006760918240155863
cat__customer_state_RJ,0.006579503808552737
cat__favorite_category_informatica_acessorios,0.006350660476047351
cat__favorite_category_utilidades_domesticas,0.0057770103204176654
cat__favorite_category_brinquedos,0.005599005205549216
cat__customer_city_rio de janeiro,0.0055128682308568
cat__favorite_category_cool_stuff,0.005399030463494651
cat__favorite_category_ferramentas_jardim,0.004623896982755612
cat__customer_state_RS,0.0045368923003087985
cat__favorite_category_relogios_presentes,0.004390700007408706
cat__favorite_category_telefonia,0.004244415539339528
cat__customer_city_belo horizonte,0.003995250939020204
num__avg_payment_type_count,0.003941788115289348
cat__favorite_category_perfumaria,0.003929613581083716
cat__favorite_category_automotivo,0.003766670914638273
cat__customer_state_PR,0.003675009082391815
cat__favorite_category_bebes,0.0035892171148677035
cat__customer_state_SC,0.003298660048174581
cat__customer_state_BA,0.003038839500341811
cat__last_order_status_delivered,0.002968190601949039
cat__favorite_category_fashion_bolsas_e_acessorios,0.0028262517540659725
cat__favorite_category_unknown,0.0027464245039440787
cat__favorite_category_pet_shop,0.00272413717312459
cat__customer_state_ES,0.002494493246123276
cat__customer_city_campinas,0.0023908031338424817
cat__favorite_category_papelaria,0.002274910331945194
cat__customer_city_porto alegre,0.002266931577206183
cat__favorite_category_malas_acessorios,0.002256929526881132
cat__customer_state_DF,0.002233014511659154
cat__favorite_category_consoles_games,0.002124245102467665
cat__customer_state_GO,0.002106264020543873
cat__customer_city_curitiba,0.002007206524662234
cat__customer_state_PE,0.001934472526689723
cat__customer_city_guarulhos,0.0019270652709451699
cat__favorite_category_eletronicos,0.001902147739798693
cat__customer_city_diadema,0.0019013793390364434
cat__favorite_category_moveis_escritorio,0.0018835959337361356
num__avg_sellers,0.001829562413410057
cat__customer_city_brasilia,0.0018077355929316864
cat__customer_city_francisco morato,0.0018002646421481686
cat__customer_city_santo andre,0.0017341396145983802
cat__customer_state_CE,0.001726898899597755
cat__favorite_category_eletroportateis,0.0016881189601439448
cat__customer_city_santos,0.0016744933456368486
cat__customer_city_suzano,0.0015441438853494923
cat__customer_city_osasco,0.001513904087174756
cat__customer_city_salvador,0.0015029911137260418
cat__customer_city_petropolis,0.0014962162266572846
cat__customer_city_sao bernardo do campo,0.0014651494681577277
cat__last_order_status_shipped,0.00140092238900661
cat__favorite_category_moveis_sala,0.001327257825708657
cat__customer_city_goiania,0.0013142251141914656
cat__customer_state_PA,0.0013100290732181094
cat__customer_city_barueri,0.0012965385043868687
cat__customer_city_jundiai,0.0012903607684010198
cat__customer_city_limeira,0.001263219998333027
cat__customer_city_praia grande,0.0012602703806165367
cat__customer_city_florianopolis,0.001256632009728331
cat__customer_state_MA,0.0012533446307379213
cat__customer_city_niteroi,0.0012461702705443324
cat__favorite_category_telefonia_fixa,0.0011943006647129582
cat__customer_city_sorocaba,0.0011907758737361213
cat__customer_city_juiz de fora,0.0011489607160053677
cat__customer_city_porto velho,0.0011262030331732396
cat__customer_state_MT,0.001108407655867293
cat__customer_city_sao jose dos campos,0.0011012037755837015
cat__favorite_category_eletrodomesticos,0.001096071989205599
cat__favorite_category_casa_conforto,0.0010953511717708574
cat__last_order_status_unavailable,0.0010816315269519883
cat__customer_city_sao goncalo,0.0010786708165341629
cat__favorite_category_instrumentos_musicais,0.0010564134552250005
cat__customer_city_indaiatuba,0.0010492063350993714
cat__customer_city_arraial do cabo,0.0009996753214633399
cat__favorite_category_livros_interesse_geral,0.0009971260769912026
cat__customer_city_recife,0.0009906174499742396
cat__customer_city_ribeirao preto,0.0009643006411813631
cat__favorite_category_fashion_roupa_masculina,0.0009467998463403972
cat__customer_city_mogi das cruzes,0.0009287302019519922
cat__customer_city_teresopolis,0.0009257384915386669
cat__favorite_category_fashion_underwear_e_moda_praia,0.0009112702918910901
cat__customer_city_santa barbara,0.000908265635808289
cat__customer_city_uberlandia,0.0009057615605526808
cat__customer_city_volta redonda,0.0009029482691521527
cat__favorite_category_audio,0.000888041201577533
cat__customer_state_MS,0.0008816888297634212
cat__customer_city_rio claro,0.000861591931042953
cat__customer_city_nova iguacu,0.0008588484613602957
cat__customer_city_fortaleza,0.0008552344365892354
cat__last_order_status_canceled,0.0008488719554332111
cat__customer_city_santa rosa,0.000838793651479362
cat__last_order_status_processing,0.000835061462731947
cat__customer_city_maua,0.0008147135383157523
cat__customer_city_itarare,0.0008122638021302292
cat__favorite_category_market_place,0.0008075439661772535
cat__customer_city_monte mor,0.0007784474307717226
cat__customer_city_barbacena,0.0007673663450265505
cat__customer_city_franco da rocha,0.000755359756655506
cat__favorite_category_fashion_calcados,0.0007466244084591153
cat__favorite_category_alimentos,0.0007309190542849929
cat__customer_city_timoteo,0.0007229643693324354
cat__customer_state_PI,0.0007222287771531721
cat__customer_city_guaira,0.0007187796678583566
cat__customer_city_maringa,0.0007091655397712485
cat__customer_city_coronel martins,0.0007054850704600586
cat__customer_city_barra mansa,0.0006973468102356914
cat__customer_city_sao jose do rio pardo,0.0006963477225877959
cat__customer_city_americana,0.0006913147127134913
cat__customer_city_lajeado,0.0006904594959517543
cat__customer_city_guarapari,0.0006902209735017572
cat__customer_state_RO,0.0006889381190740178
cat__customer_city_ipatinga,0.000687730874264025
cat__customer_city_rio grande,0.0006777009562966712
cat__customer_state_RN,0.0006751300963839698
cat__customer_city_valente,0.0006713690162270027
cat__customer_city_contagem,0.0006712903575163798
cat__customer_city_araras,0.0006553339443927576
cat__customer_city_aparecida de goiania,0.0006545392073112721
cat__customer_state_SE,0.0006507427098379436
cat__customer_city_vitoria,0.0006452609193970799
cat__customer_city_medeiros neto,0.0006438841415175748
