feature,importance
cat__customer_city_mariluz,7.194871416669598
cat__customer_city_erval grande,6.686436027436895
cat__customer_city_monte carlo,6.4897088158454395
cat__customer_city_sao borja,6.357110352490564
cat__customer_city_bodoquena,6.340338694348242
cat__customer_city_valente,6.2289708160309525
cat__customer_city_peixoto de azevedo,6.209727748413297
cat__customer_city_jaiba,6.117128966108336
cat__customer_city_torrinha,6.0421261647118545
cat__customer_city_abelardo luz,6.0277913854005964
cat__customer_city_jatoba,5.96508460944425
cat__customer_city_rio maria,5.953538050647734
cat__customer_city_palmitinho,5.945539940020177
cat__customer_city_antonio prado,5.935829621908358
cat__customer_city_guaiuba,5.880407750592047
cat__customer_city_jacaraci,5.816380873283198
cat__customer_city_urbano santos,5.771935099857427
cat__customer_city_arroio dos ratos,5.757139270268765
cat__customer_city_sao pedro dos ferros,5.716303716518417
cat__customer_city_salto do ceu,5.645829214409646
cat__customer_city_claudio,5.556394656911206
cat__customer_city_coronel martins,5.530903779379693
cat__customer_city_candido rodrigues,5.5177546148507695
cat__customer_city_porto velho,5.514829980490777
cat__customer_city_sanclerlandia,5.478104133465466
cat__customer_city_triunfo,5.453629660386484
cat__customer_city_icem,5.437006687301448
cat__customer_city_arraial do cabo,5.405400705455315
cat__customer_city_mata de sao joao,5.398633866079454
cat__customer_city_santa rosa,5.3975735430387415
cat__customer_city_coelho neto,5.370223277150274
cat__customer_city_nazare paulista,5.34623115639897
cat__customer_city_barra do garcas,5.26178082345037
cat__customer_city_pinhalao,5.251046772490104
cat__customer_city_santa rosa de lima,5.233848369288514
cat__customer_city_diorama,5.175745602666387
cat__customer_city_planaltina de goias,5.150421288163424
cat__customer_city_porto seguro,5.139052475317074
cat__customer_city_montanha,5.0944936745533855
cat__customer_city_sao jose do cedro,5.032174754351187
cat__customer_city_erechim,4.998582621947057
cat__customer_city_medeiros neto,4.998236082513334
cat__customer_city_fazenda rio grande,4.997816710545589
cat__customer_city_parapua,4.967542953787562
cat__customer_city_santa barbara,4.94731109930807
cat__customer_city_ibiraja,4.884259734039174
cat__customer_city_firminopolis,4.873124187693419
cat__customer_city_vera cruz,4.869152880505543
cat__customer_city_nova cruz,4.856221357520327
cat__customer_city_eldorado do sul,4.849373005370611
cat__customer_city_jacarezinho,4.802651043770853
cat__customer_city_espumoso,4.802640949960807
cat__customer_city_pedregulho,4.761774439870787
cat__customer_city_lago da pedra,4.758949431299785
cat__customer_city_cianorte,4.743035979726343
cat__customer_city_estiva gerbi,4.677727494347101
cat__customer_city_casa nova,4.635464480543829
cat__customer_city_dois vizinhos,4.606228074385793
cat__customer_city_lajeado,4.592637215787389
cat__customer_city_jacobina,4.577652320394737
cat__customer_city_sao manuel,4.574110580914985
