feature,importance
num__customer_lifetime_days,0.031662684
num__purchase_frequency,0.030714618
num__total_items,0.022694666
cat__customer_city_francisco morato,0.019060148
cat__customer_city_petropolis,0.017210696
cat__favorite_category_pet_shop,0.016286096
num__total_products,0.013945002
cat__favorite_category_perfumaria,0.01286013
num__avg_payment_type_count,0.012649431
cat__last_order_status_delivered,0.012603771
cat__favorite_category_moveis_sala,0.012336763
cat__customer_city_teresopolis,0.012176912
cat__customer_city_curitiba,0.012140614
cat__customer_city_campinas,0.012126837
num__total_spent,0.011737845
cat__customer_city_volta redonda,0.0115619805
cat__customer_city_brasilia,0.0112921335
num__avg_order_value,0.01121158
num__avg_product_photos,0.0111096185
num__avg_payment_installments,0.011098418
cat__customer_city_diadema,0.010992871
cat__customer_city_sao goncalo,0.0109737925
cat__customer_state_BA,0.010831881
cat__favorite_category_informatica_acessorios,0.01068295
cat__favorite_category_fashion_bolsas_e_acessorios,0.0106500555
cat__favorite_category_esporte_lazer,0.010478075
num__customer_zip_code_prefix,0.010411601
cat__favorite_category_brinquedos,0.010397314
cat__favorite_category_automotivo,0.010394399
cat__customer_city_osasco,0.010393772
cat__customer_city_niteroi,0.010322348
cat__customer_state_RJ,0.0103210965
cat__customer_city_rio de janeiro,0.010301185
num__avg_product_weight,0.010227427
num__recency_days,0.0101889055
cat__customer_state_SC,0.010150951
cat__favorite_category_fashion_underwear_e_moda_praia,0.010114711
cat__customer_city_porto alegre,0.009954316
num__order_count,0.009926969
num__avg_delivery_days,0.009876903
num__avg_sellers,0.009836973
num__avg_delay_days,0.009798585
cat__customer_city_suzano,0.009694007
cat__favorite_category_beleza_saude,0.0096884305
cat__customer_city_belo horizonte,0.009497804
cat__last_order_status_unavailable,0.009467115
num__avg_items_per_order,0.009274858
num__avg_review_score,0.009155144
cat__favorite_category_cama_mesa_banho,0.009014468
cat__customer_state_CE,0.00884633
cat__favorite_category_cool_stuff,0.008771194
num__avg_freight,0.008691672
cat__customer_state_SP,0.008665653
cat__favorite_category_telefonia_fixa,0.008625604
cat__favorite_category_ferramentas_jardim,0.008381772
cat__customer_state_PR,0.008258638
cat__customer_city_santos,0.008192535
cat__favorite_category_unknown,0.008029304
cat__customer_city_porto velho,0.007881588
cat__customer_state_GO,0.007614122
cat__customer_state_RS,0.0075155734
cat__customer_city_juiz de fora,0.007503303
cat__customer_city_goiania,0.007433148
cat__customer_state_ES,0.007394573
cat__favorite_category_relogios_presentes,0.00737414
cat__favorite_category_utilidades_domesticas,0.0072212648
cat__customer_city_indaiatuba,0.007172442
cat__customer_state_DF,0.007122237
cat__customer_city_limeira,0.0071086455
cat__customer_city_florianopolis,0.006965413
cat__favorite_category_malas_acessorios,0.0067852554
cat__customer_state_MG,0.0065636947
cat__customer_city_sao paulo,0.0065175965
cat__favorite_category_moveis_decoracao,0.0063833944
cat__favorite_category_telefonia,0.0063269776
cat__customer_state_MA,0.006044083
cat__last_order_status_processing,0.0059829974
cat__favorite_category_sinalizacao_e_seguranca,0.005868241
cat__customer_city_praia grande,0.00585008
cat__customer_city_timoteo,0.0056691617
cat__favorite_category_consoles_games,0.005540529
cat__customer_city_arraial do cabo,0.0054338994
cat__favorite_category_eletroportateis,0.005408014
cat__last_order_status_shipped,0.005332485
cat__customer_city_sorocaba,0.0052845
cat__favorite_category_moveis_escritorio,0.0052829063
cat__customer_city_rio grande,0.005195614
cat__favorite_category_bebes,0.0051776487
cat__customer_city_fortaleza,0.0050217747
cat__customer_city_guarulhos,0.0049050907
cat__favorite_category_casa_conforto,0.0048487694
cat__customer_city_sao bernardo do campo,0.0047824727
cat__favorite_category_papelaria,0.0046714875
cat__customer_city_barbacena,0.0043847663
cat__customer_city_barueri,0.0043685376
cat__customer_city_contagem,0.004315154
cat__customer_state_MS,0.0042799483
cat__customer_city_rio claro,0.003962195
cat__customer_city_salvador,0.0038622003
cat__favorite_category_market_place,0.0038503932
cat__customer_city_franco da rocha,0.0036695946
cat__favorite_category_eletronicos,0.0036585694
cat__customer_city_recife,0.003629726
cat__customer_city_barra mansa,0.0035878397
cat__customer_city_jundiai,0.0034848591
cat__customer_city_joinville,0.0031821695
cat__customer_city_ribeirao preto,0.0031109394
cat__favorite_category_fashion_roupa_masculina,0.0031089548
cat__customer_city_duque de caxias,0.0030875946
cat__customer_city_sao jose do rio preto,0.0030448579
cat__customer_city_taubate,0.0028528487
cat__customer_city_serra,0.0028455148
cat__customer_city_americana,0.002808008
cat__customer_city_ponta grossa,0.002789746
cat__favorite_category_fashion_roupa_feminina,0.002706035
cat__favorite_category_fashion_calcados,0.0026791797
cat__customer_city_carapicuiba,0.002678567
cat__customer_city_ferraz de vasconcelos,0.0026660087
cat__customer_city_piracicaba,0.0026178234
cat__customer_city_cotia,0.0026126397
cat__customer_city_uberaba,0.0026011602
cat__customer_city_vila velha,0.0025724329
cat__customer_city_varginha,0.0025459626
cat__last_order_status_invoiced,0.00246819
cat__customer_city_macae,0.0024370614
cat__customer_city_angra dos reis,0.0023861409
cat__customer_city_betim,0.0019997316
cat__customer_city_altonia,0.0
cat__customer_city_altos,0.0
cat__customer_city_aluminio,0.0
cat__customer_city_alvares machado,0.0
cat__customer_city_alvorada,0.0
cat__customer_city_amambai,0.0
cat__customer_city_amapa do maranhao,0.0
cat__customer_city_amargosa,0.0
cat__customer_city_amelia rodrigues,0.0
cat__customer_city_americano do brasil,0.0
cat__customer_city_americo brasiliense,0.0
cat__customer_city_amontada,0.0
cat__customer_city_amparo,0.0
cat__customer_city_ampere,0.0
cat__customer_city_anage,0.0
cat__customer_city_analandia,0.0
cat__customer_city_ananas,0.0
cat__customer_city_ananindeua,0.0
cat__customer_city_anapolis,0.0
cat__customer_city_anchieta,0.0
cat__customer_city_andira,0.0
cat__customer_city_andorinha,0.0
cat__customer_city_andradas,0.0
cat__customer_city_andradina,0.0
cat__customer_city_angatuba,0.0
cat__customer_city_anguera,0.0
cat__customer_city_anita garibaldi,0.0
cat__customer_city_anta,0.0
cat__customer_city_anta gorda,0.0
cat__customer_city_antonina,0.0
cat__customer_city_antonio cardoso,0.0
cat__customer_city_antonio carlos,0.0
cat__customer_city_antonio goncalves,0.0
cat__customer_city_antonio prado,0.0
cat__customer_city_antonio prado de minas,0.0
cat__customer_city_antunes,0.0
cat__customer_city_aparecida,0.0
cat__customer_city_aparecida de goiania,0.0
cat__customer_city_aparecida do taboado,0.0
cat__customer_city_aperibe,0.0
cat__customer_city_apiaca,0.0
cat__customer_city_apiuna,0.0
cat__customer_city_apodi,0.0
cat__customer_city_apora,0.0
cat__customer_city_apuarema,0.0
cat__customer_city_apucarana,0.0
cat__customer_city_aquidaba,0.0
cat__customer_city_aracaju,0.0
cat__customer_city_aracariguama,0.0
cat__customer_city_aracati,0.0
cat__customer_city_aracatuba,0.0
cat__customer_city_arace,0.0
cat__customer_city_araci,0.0
cat__customer_city_aracitaba,0.0
cat__customer_city_aracoiaba,0.0
cat__customer_city_aracoiaba da serra,0.0
cat__customer_city_aracruz,0.0
cat__customer_city_aracuai,0.0
cat__customer_city_aragarcas,0.0
cat__customer_city_araguacu,0.0
cat__customer_city_araguaina,0.0
cat__customer_city_araguari,0.0
cat__customer_city_araguatins,0.0
cat__customer_city_arandu,0.0
cat__customer_city_arapiraca,0.0
cat__customer_city_araponga,0.0
cat__customer_city_arapongas,0.0
cat__customer_city_arapora,0.0
cat__customer_city_arapoti,0.0
cat__customer_city_araputanga,0.0
cat__customer_city_araquari,0.0
cat__customer_city_arara,0.0
cat__customer_city_ararangua,0.0
